ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,CellType,Condition
R-HSA-9031628,NGF-stimulated transcription,27,-0.822224794,-2.476116365,5.59627638344281e-10,7.15763749442335e-07,7.04541742589221e-07,251,"tags=44%, list=3%, signal=43%",NAB2/SRF/TRIB1/FOS/JUNB/EGR1/SGK1/VGF/FOSB/ARC/FOSL1/EGR2,C_TAL,DKD_vs_Healthy
R-HSA-187037,Signaling by NTRK1 (TRKA),81,-0.561668307,-2.121741542,9.67566731878787e-07,0.000412506,0.000406039,1323,"tags=40%, list=17%, signal=33%",RALA/ID4/IRS2/KRAS/MAPK13/NAB1/AP2A1/MEF2A/DUSP6/PPP2CB/RIT1/CRKL/MAPK7/JUND/PPP2CA/SHC1/PLCG1/DUSP3/CRK/NAB2/SRF/RAPGEF1/TRIB1/FOS/JUNB/EGR1/SGK1/VGF/FOSB/ARC/FOSL1/EGR2,C_TAL,DKD_vs_Healthy
R-HSA-166520,Signaling by NTRKs,86,-0.547113097,-2.087612542,9.64717040001228e-07,0.000412506,0.000406039,1327,"tags=38%, list=17%, signal=32%",NELFB/RALA/ID4/IRS2/KRAS/MAPK13/NAB1/AP2A1/MEF2A/DUSP6/PPP2CB/RIT1/CRKL/MAPK7/JUND/PPP2CA/SHC1/PLCG1/DUSP3/CRK/NAB2/SRF/RAPGEF1/TRIB1/FOS/JUNB/EGR1/SGK1/VGF/FOSB/ARC/FOSL1/EGR2,C_TAL,DKD_vs_Healthy
R-HSA-198725,Nuclear Events (kinase and transcription factor activation),41,-0.663748276,-2.199505771,2.48236519744641e-06,0.000793736,0.000781292,1037,"tags=49%, list=14%, signal=42%",NAB1/MEF2A/DUSP6/PPP2CB/MAPK7/JUND/PPP2CA/DUSP3/NAB2/SRF/TRIB1/FOS/JUNB/EGR1/SGK1/VGF/FOSB/ARC/FOSL1/EGR2,C_TAL,DKD_vs_Healthy
R-HSA-6794361,Neurexins and neuroligins,18,-0.762689317,-2.076522629,6.70018872553828e-05,0.017139083,0.01687037,1407,"tags=67%, list=18%, signal=55%",SHANK2/PDLIM5/LIN7C/LIN7A/EPB41L3/SYT7/LIN7B/DLGAP4/HOMER1/GRM1/STXBP1/SYT1,C_TAL,DKD_vs_Healthy
R-HSA-198725,Nuclear Events (kinase and transcription factor activation),45,-0.70747564,-2.632699685,1.49554976544398e-09,1.86195945797776e-06,1.71594657298309e-06,764,"tags=44%, list=10%, signal=40%",JUND/JUNB/PPP2R1B/RRAD/FOS/CDK5/NAB1/DUSP6/MEF2D/EGR1/FOSB/ELK1/SGK1/TRIB1/SRF/NAB2/F3/EGR3/FOSL1/EGR2,CNT,DKD_vs_Healthy
R-HSA-9031628,NGF-stimulated transcription,30,-0.774425824,-2.614641623,9.55304912831122e-09,5.94677308237373e-06,5.48043344729433e-06,764,"tags=60%, list=10%, signal=54%",JUND/JUNB/RRAD/FOS/CDK5/NAB1/MEF2D/EGR1/FOSB/ELK1/SGK1/TRIB1/SRF/NAB2/F3/EGR3/FOSL1/EGR2,CNT,DKD_vs_Healthy
R-HSA-187037,Signaling by NTRK1 (TRKA),78,-0.562664322,-2.325561021,1.47302872218447e-07,6.11306919706554e-05,5.63368879712656e-05,764,"tags=29%, list=10%, signal=27%",JUND/JUNB/PPP2R1B/RRAD/FOS/CDK5/MAPKAPK3/NAB1/DUSP6/MEF2D/EGR1/FRS2/FOSB/ELK1/SGK1/TRIB1/MAPK13/SRF/NAB2/F3/EGR3/FOSL1/EGR2,CNT,DKD_vs_Healthy
R-HSA-166520,Signaling by NTRKs,84,-0.528515157,-2.204962391,5.31146795610102e-07,0.000165319,0.000152355,489,"tags=27%, list=6%, signal=26%",JUND/JUNB/PPP2R1B/RRAD/FOS/CDK5/MAPKAPK3/NAB1/DUSP6/MEF2D/EGR1/FRS2/FOSB/ELK1/SGK1/TRIB1/MAPK13/SRF/NAB2/F3/EGR3/FOSL1/EGR2,CNT,DKD_vs_Healthy
R-HSA-1474244,Extracellular matrix organization,102,0.532293996,1.863429237,8.48046739197665e-06,0.002111636,0.001946044,1641,"tags=40%, list=22%, signal=32%",DST/CTSS/FBN1/SDC2/MMP2/ADAMTS3/TGFB1/SPP1/TIMP1/MMP15/SDC3/COL4A1/SGCB/COL27A1/COL7A1/COL4A3/EFEMP1/MMP7/ADAMTS5/CRTAP/MMP24/LAMC2/COL4A4/P4HA1/ITGB6/ACTN1/FURIN/ADAMTS16/CD44/LAMC1/ADAM10/COL4A2/PLOD2/ADAMTS9/PTPRS/ADAMTS1/COL4A5/NTN4/ITGB8/ITGA6/SDC1,CNT,DKD_vs_Healthy
R-HSA-8852276,The role of GTSE1 in G2/M progression after G2 checkpoint,47,-0.543982112,-2.028211193,0.00010435,0.021652539,0.01995457,1852,"tags=47%, list=24%, signal=36%",PSMB2/PSMD8/HSP90AB1/HSP90AA1/UBB/TUBA1B/PSMB1/UBC/PSMD7/PSMC5/PSMA2/SEM1/TUBB4B/MAPRE1/PSMC3/PSMD3/ADRM1/TUBA1C/PSMB4/TUBB2A/TUBA4A/CDKN1A,CNT,DKD_vs_Healthy
R-HSA-1474228,Degradation of the extracellular matrix,49,0.597546441,1.857285499,0.000141508,0.025168186,0.023194523,1490,"tags=47%, list=20%, signal=38%",CTSS/FBN1/MMP2/SPP1/TIMP1/MMP15/COL4A1/COL7A1/COL4A3/MMP7/ADAMTS5/MMP24/LAMC2/COL4A4/FURIN/ADAMTS16/CD44/LAMC1/ADAM10/COL4A2/ADAMTS9/ADAMTS1/COL4A5,CNT,DKD_vs_Healthy
R-HSA-1474244,Extracellular matrix organization,98,0.537397987,2.019073711,1.28435891173536e-06,0.001633705,0.001573678,1644,"tags=41%, list=21%, signal=33%",TIMP1/TIMP2/COL4A1/ACTN1/SNTB2/LAMC2/CD44/ITGB4/PHYKPL/CD47/ITGB8/ITGB6/SGCE/ITGA2/UTRN/ICAM3/MMP7/HTRA1/ITGA1/TRAPPC4/ITGA3/COL4A4/SDC2/PLOD2/ITGB1/COL27A1/ADAM10/PRKCA/COL18A1/ADAM17/PPIB/CAST/CD151/F11R/PLOD3/P4HB/COL1A2/SGCB/ADAM9/FURIN,DCT,DKD_vs_Healthy
R-HSA-432722,Golgi Associated Vesicle Biogenesis,43,0.573246986,2.022837566,3.50111223496742e-05,0.034696022,0.033905508,662,"tags=30%, list=14%, signal=26%",TPD52L1/SNAPIN/SH3GL2/AP1S1/SNX2/SORT1/DTNBP1/PIK3C2A/VAMP7/AP1G1/AP1M1/AP3B1/YIPF6,PT,DKD_vs_Healthy
R-HSA-1566948,Elastic fibre formation,24,-0.727853459,-2.272006527,2.16473412198964e-05,0.012198277,0.011632598,747,"tags=58%, list=13%, signal=51%",LTBP3/LTBP2/ITGB5/LTBP4/FBLN5/MFAP4/FBN1/FURIN/EFEMP1/LOX/ITGA5/FBLN1/FBLN2/MFAP5,VSMC_P,DKD_vs_Healthy
R-HSA-1630316,Glycosaminoglycan metabolism,54,-0.581256719,-2.128601013,1.90293125256788e-05,0.012198277,0.011632598,1057,"tags=48%, list=18%, signal=40%",GPC3/HSPG2/CTSL/EXT1/CHSY1/CD44/HEXA/CHST15/CHPF/PRELP/CHST12/SDC4/SLC26A2/CHPF2/ST3GAL1/VCAN/CSGALNACT2/B4GALT4/LUM/CHST7/DCN/B4GALT7/GPC4/HAS1/OMD/OGN,VSMC_P,DKD_vs_Healthy
R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,51,-0.557040351,-2.002871418,4.32637391999716e-05,0.016252745,0.015499045,475,"tags=33%, list=8%, signal=31%",BCL6/MCL1/ANXA1/POU2F1/FOXO1/JUNB/FOS/ICAM1/FGF2/FOXO3/CEBPD/SOCS3/IL4R/MYC/CDKN1A/HMOX1/SOCS1,VSMC_P,DKD_vs_Healthy
R-HSA-1474244,Extracellular matrix organization,148,-0.397486746,-1.72109041,0.000114108,0.03214987,0.030658962,1054,"tags=33%, list=18%, signal=28%",HSPG2/P4HB/EFEMP2/COL12A1/CTSL/COL6A2/COL14A1/CD44/SSPN/MMP2/THBS1/COL6A3/COL16A1/HTRA1/LTBP3/LTBP2/ITGA11/SDC4/ITGB5/P4HA2/LTBP4/COL5A1/COL1A1/PCOLCE/FBLN5/PTPRS/VCAN/MFAP4/FBN1/FURIN/LAMB1/JAM3/EFEMP1/LUM/ADAMTS1/LOX/ITGA5/ICAM1/COL8A1/DCN/FGF2/CTSK/TNXB/FBLN1/ASPN/SERPINE1/FBLN2/PCOLCE2/MFAP5,VSMC_P,DKD_vs_Healthy
R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),60,-0.522512602,-1.963093403,0.000143744,0.032399848,0.030897347,1057,"tags=32%, list=18%, signal=26%",GPC3/P4HB/CHRDL1/MXRA8/MMP2/CST3/FSTL1/VWA1/PRSS23/VCAN/FBN1/LAMB1/FSTL3/APOL1/IGFBP6/GOLM1/IGF2/IGF1/C3,VSMC_P,DKD_vs_Healthy
R-HSA-2129379,Molecules associated with elastic fibres,21,-0.699444877,-2.102070769,0.000244192,0.045867353,0.043740315,747,"tags=52%, list=13%, signal=46%",LTBP3/LTBP2/ITGB5/LTBP4/FBLN5/MFAP4/FBN1/EFEMP1/FBLN1/FBLN2/MFAP5,VSMC_P,DKD_vs_Healthy
